,Node,VRF,Network,Next_Hop,Next_Hop_IP,Next_Hop_Interface,Protocol,Metric,Admin_Distance,Tag
107,as2border1,default,1.0.1.0/24,as1border1,10.12.11.1,dynamic,bgp,50,20,
108,as2dist1,default,2.34.101.0/24,,AUTO/NONE(-1l),GigabitEthernet2/0,connected,0,0,
109,as3border1,default,3.0.2.0/24,as3core1,3.0.1.2,dynamic,ospf,2,110,
110,as3core1,default,3.0.2.2/32,,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
111,as2core1,default,2.12.11.0/24,,AUTO/NONE(-1l),GigabitEthernet0/0,connected,0,0,
112,as3border1,default,1.0.2.0/24,as1border2,10.13.22.1,dynamic,ibgp,50,200,
113,as3border2,default,3.0.2.0/24,,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
114,as2border2,default,10.12.11.0/24,as2core2,2.12.22.2,dynamic,ospfE2,20,110,
115,as3border2,default,10.13.22.3/32,,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
116,as3border2,default,10.23.21.0/24,as3core1,3.0.2.2,dynamic,ospfE2,20,110,
117,as1border2,default,2.128.0.0/16,as2border1,10.12.11.2,dynamic,ibgp,50,200,
118,as3border2,default,3.1.1.1/32,as3core1,3.0.2.2,dynamic,ospf,3,110,
119,as2dept1,default,3.0.2.0/24,as2dist1,2.34.101.3,dynamic,bgp,50,20,
120,as2dept1,default,2.34.201.0/24,,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
121,as2border2,default,1.0.2.0/24,as1border1,10.12.11.1,dynamic,ibgp,50,200,
122,as2border2,default,1.0.2.0/24,as1border1,10.12.11.1,dynamic,ibgp,50,200,
123,as1core1,default,1.0.1.2/32,,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
124,as2dist2,default,3.0.1.0/24,as3border1,10.23.21.3,dynamic,ibgp,50,200,
125,as2dist2,default,3.0.1.0/24,as3border1,10.23.21.3,dynamic,ibgp,50,200,
126,as2dept1,default,3.0.1.0/24,as2dist1,2.34.101.3,dynamic,bgp,50,20,
127,as2dist1,default,3.0.1.0/24,as3border1,10.23.21.3,dynamic,ibgp,50,200,
128,as2dist1,default,3.0.1.0/24,as3border1,10.23.21.3,dynamic,ibgp,50,200,
129,as3core1,default,3.0.2.0/24,,AUTO/NONE(-1l),GigabitEthernet0/0,connected,0,0,
130,as2core1,default,2.1.1.1/32,as2border1,2.12.11.1,dynamic,ospf,2,110,
131,as2core1,default,2.34.201.0/24,as2dist2,2.23.12.3,dynamic,ospfE2,20,110,
132,as2dist1,default,2.1.2.1/32,as2core1,2.23.11.2,dynamic,ospf,2,110,
133,as3core1,default,3.0.1.2/32,,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
134,as1core1,default,10.13.22.0/24,as1border2,1.0.2.1,dynamic,ospfE2,20,110,
135,as2core2,default,3.0.2.0/24,as3border1,10.23.21.3,dynamic,ibgp,50,200,
136,as2core2,default,2.1.2.1/32,as2border1,2.12.12.1,dynamic,ospf,3,110,
137,as2border1,default,2.128.1.0/24,as2dept1,2.34.201.4,dynamic,ibgp,50,200,
138,as2border1,default,2.128.1.0/24,as2dept1,2.34.201.4,dynamic,ibgp,50,200,
139,as2core1,default,3.0.2.0/24,as3border1,10.23.21.3,dynamic,ibgp,50,200,
140,as2dist1,default,2.1.2.2/32,as2core2,2.23.21.2,dynamic,ospf,2,110,
141,as2border2,default,2.1.1.1/32,as2core2,2.12.22.2,dynamic,ospf,3,110,
142,host2,default,2.128.1.101/32,,AUTO/NONE(-1l),eth0,local,0,0,
143,as3border2,default,3.10.1.1/32,as3core1,3.0.2.2,dynamic,ospf,2,110,
144,as2core1,default,2.1.3.2/32,as2dist2,2.23.12.3,dynamic,ospf,2,110,
145,as2dist1,default,2.12.22.0/24,as2core2,2.23.21.2,dynamic,ospf,2,110,
146,as2border2,default,2.1.3.1/32,as2core1,2.12.21.2,dynamic,ospf,3,110,
147,as3core1,default,1.0.2.0/24,as1border2,10.13.22.1,dynamic,ibgp,50,200,
148,as2dept1,default,1.0.2.0/24,as2dist2,2.34.201.3,dynamic,bgp,50,20,
149,as3border2,default,3.2.2.2/32,,AUTO/NONE(-1l),Loopback0,connected,0,0,
150,as2core2,default,2.12.11.0/24,as2border1,2.12.12.1,dynamic,ospf,2,110,
151,as3border2,default,1.0.1.0/24,as1border2,10.13.22.1,dynamic,bgp,50,20,
152,as2border1,default,2.1.1.1/32,,AUTO/NONE(-1l),Loopback0,connected,0,0,
153,as2dist1,default,2.12.12.0/24,as2core2,2.23.21.2,dynamic,ospf,2,110,
154,as2core1,default,2.1.2.2/32,as2border2,2.12.21.1,dynamic,ospf,3,110,
155,as2border2,default,2.128.1.0/24,as2dept1,2.34.201.4,dynamic,ibgp,50,200,
156,as2border2,default,2.128.1.0/24,as2dept1,2.34.201.4,dynamic,ibgp,50,200,
157,as2dist2,default,2.23.12.3/32,,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
158,as1border2,default,10.13.22.1/32,,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
159,as2dist1,default,2.1.1.2/32,as2core1,2.23.11.2,dynamic,ospf,3,110,
160,as2core1,default,2.12.22.0/24,as2border2,2.12.21.1,dynamic,ospf,2,110,
161,as2core1,default,2.23.11.0/24,,AUTO/NONE(-1l),GigabitEthernet2/0,connected,0,0,
162,as2dist2,default,2.1.1.1/32,as2core2,2.23.22.2,dynamic,ospf,3,110,
163,as3border1,default,3.2.2.2/32,as3core1,3.0.1.2,dynamic,ospf,3,110,
164,as3core1,default,3.0.1.0/24,,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
165,as1core1,default,3.0.1.0/24,as3border2,10.13.22.3,dynamic,ibgp,50,200,
166,as2dist1,default,10.12.11.0/24,as2core1,2.23.11.2,dynamic,ospfE2,20,110,
167,as3border1,default,3.0.1.0/24,,AUTO/NONE(-1l),GigabitEthernet0/0,connected,0,0,
168,as2dist2,default,2.23.22.3/32,,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
169,as1core1,default,1.0.1.0/24,,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
170,as3border2,default,3.0.2.1/32,,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
171,as2core2,default,2.1.2.1/32,as2dist1,2.23.21.3,dynamic,ospf,3,110,
172,as2core2,default,2.1.2.2/32,,AUTO/NONE(-1l),Loopback0,connected,0,0,
173,as1border1,default,3.0.1.0/24,as3border2,10.13.22.3,dynamic,ibgp,50,200,
174,as2dist2,default,2.128.1.0/24,as2dept1,2.34.201.4,dynamic,bgp,50,20,
175,as1core1,default,3.0.2.0/24,as3border2,10.13.22.3,dynamic,ibgp,50,200,
176,as2border1,default,2.1.1.2/32,as2core2,2.12.12.2,dynamic,ospf,3,110,
177,as2border1,default,3.0.2.0/24,as3border1,10.23.21.3,dynamic,ibgp,50,200,
178,as2border1,default,3.0.2.0/24,as3border1,10.23.21.3,dynamic,ibgp,50,200,
179,host1,default,2.128.0.0/24,,AUTO/NONE(-1l),eth0,connected,0,0,
180,as2core2,default,2.23.21.2/32,,AUTO/NONE(-1l),GigabitEthernet3/0,local,0,0,
181,as2core1,default,2.1.2.2/32,as2border1,2.12.11.1,dynamic,ospf,3,110,
182,as2dist1,default,2.1.1.1/32,as2core1,2.23.11.2,dynamic,ospf,3,110,
183,as2dist1,default,2.23.21.3/32,,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
184,as2border2,default,2.12.21.1/32,,AUTO/NONE(-1l),GigabitEthernet2/0,local,0,0,
185,as2dist1,default,2.1.3.2/32,as2core1,2.23.11.2,dynamic,ospf,3,110,
186,as2dist1,default,2.1.1.2/32,as2core2,2.23.21.2,dynamic,ospf,3,110,
187,host2,default,0.0.0.0/0,as2dept1,2.128.1.1,eth0,static,0,1,
188,as1border2,default,1.0.1.0/24,as1core1,1.0.2.2,dynamic,ospf,2,110,
189,as2dist2,default,2.1.3.1/32,as2core2,2.23.22.2,dynamic,ospf,3,110,
190,as3core1,default,3.2.2.2/32,as3border2,3.0.2.1,dynamic,ospf,2,110,
191,as1border1,default,3.0.2.0/24,as3border2,10.13.22.3,dynamic,ibgp,50,200,
192,as1border2,default,1.0.2.1/32,,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
193,as3core1,default,10.23.21.0/24,as3border1,3.0.1.1,dynamic,ospfE2,20,110,
194,as3border1,default,10.23.21.0/24,,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
195,as2border1,default,2.1.3.2/32,as2core1,2.12.11.2,dynamic,ospf,3,110,
196,as2border1,default,2.12.22.0/24,as2core2,2.12.12.2,dynamic,ospf,2,110,
197,as2core2,default,2.128.1.0/24,as2dept1,2.34.101.4,dynamic,ibgp,50,200,
198,as2core1,default,2.128.1.0/24,as2dept1,2.34.101.4,dynamic,ibgp,50,200,
199,as2dist2,default,2.12.12.0/24,as2core2,2.23.22.2,dynamic,ospf,2,110,
200,as1border1,default,1.2.2.2/32,as1core1,1.0.1.2,dynamic,ospf,3,110,
201,as2border1,default,2.128.0.0/24,as2dept1,2.34.201.4,dynamic,ibgp,50,200,
202,as2border1,default,2.128.0.0/24,as2dept1,2.34.201.4,dynamic,ibgp,50,200,
203,as2border2,default,2.34.101.0/24,as2core1,2.12.21.2,dynamic,ospfE2,20,110,
204,as2core2,default,2.12.22.0/24,,AUTO/NONE(-1l),GigabitEthernet0/0,connected,0,0,
205,as2dept1,default,2.128.1.1/32,,AUTO/NONE(-1l),GigabitEthernet3/0,local,0,0,
206,as2core1,default,10.12.11.0/24,as2border1,2.12.11.1,dynamic,ospfE2,20,110,
207,as2border2,default,2.12.22.0/24,,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
208,as2dept1,default,2.34.201.4/32,,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
209,as3border2,default,1.0.2.0/24,as1border2,10.13.22.1,dynamic,bgp,50,20,
