,Node,VRF,Network,Next_Hop_IP,Next_Hop_Interface,Protocol,Metric,Admin_Distance,Tag
126,as2core1,default,2.1.1.1/32,2.12.11.1,GigabitEthernet0/0,ospf,2,110,
127,as2core1,default,2.1.1.2/32,2.12.21.1,GigabitEthernet1/0,ospf,2,110,
128,as2core1,default,2.1.2.1/32,AUTO/NONE(-1l),Loopback0,connected,0,0,
129,as2core1,default,2.1.2.2/32,2.12.11.1,GigabitEthernet0/0,ospf,3,110,
130,as2core1,default,2.1.2.2/32,2.12.21.1,GigabitEthernet1/0,ospf,3,110,
131,as2core1,default,2.1.2.2/32,2.23.11.3,GigabitEthernet2/0,ospf,3,110,
132,as2core1,default,2.1.2.2/32,2.23.12.3,GigabitEthernet3/0,ospf,3,110,
133,as2core1,default,2.1.3.1/32,2.23.11.3,GigabitEthernet2/0,ospf,2,110,
134,as2core1,default,2.1.3.2/32,2.23.12.3,GigabitEthernet3/0,ospf,2,110,
135,as2core1,default,2.12.11.0/24,AUTO/NONE(-1l),GigabitEthernet0/0,connected,0,0,
136,as2core1,default,2.12.11.2/32,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
137,as2core1,default,2.12.12.0/24,2.12.11.1,GigabitEthernet0/0,ospf,2,110,
138,as2core1,default,2.12.21.0/24,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
139,as2core1,default,2.12.21.2/32,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
140,as2core1,default,2.12.22.0/24,2.12.21.1,GigabitEthernet1/0,ospf,2,110,
141,as2core1,default,2.23.11.0/24,AUTO/NONE(-1l),GigabitEthernet2/0,connected,0,0,
142,as2core1,default,2.23.11.2/32,AUTO/NONE(-1l),GigabitEthernet2/0,local,0,0,
143,as2core1,default,2.23.12.0/24,AUTO/NONE(-1l),GigabitEthernet3/0,connected,0,0,
144,as2core1,default,2.23.12.2/32,AUTO/NONE(-1l),GigabitEthernet3/0,local,0,0,
